name,code,ean,description,photos,category_path,category_name,price_net,tax,price_gross,currency,is_available,stock,availability_date,base_unit_of_measure,items_in_package_count,has_carton_packaging,base_units_in_carton_count,hs_code,country_of_origin,width_cm,height_cm,depth_cm,weight_kg,remarks
"Glass Gift Card Holder, gold, 13x21x21cm",PUDTM9-019ME,5900779130920,"Glass gift card holder in shape of house with gold metallic edges, size approx. 13x21x21 cm.",https://shop.partydeco.pl/media/products/a825f6a60c719de9650c6b0785c46d9b/images/PUDTM9-019ME_01_S.jpg;https://shop.partydeco.pl/media/products/a825f6a60c719de9650c6b0785c46d9b/images/PUDTM9-019ME_02_S.jpg,"Products > Boxes / Pouches > Card boxes","Card boxes",69.67,23,85.69,PLN,1,300,,PC,1,1,4,70139900,CHN,21,21,13,1.1,
"Wooden letter U, white, 20.5x20cm",DL1-U-008,5900779116252,"Letter U made of wood in white colour, width approx. 20.5 cm, height approx. 20 cm",https://shop.partydeco.pl/media/products/1bceb36e78bc24e50a0d90f74070d45b/images/DL1-U-008_01_S.jpg;https://shop.partydeco.pl/media/products/1bceb36e78bc24e50a0d90f74070d45b/images/DL1-U-008_op_01_S.jpg,"Products > Table numbers and inscriptions / Bottle accessories > Table numbers, inscriptions and tablets","Table numbers, inscriptions and tablets",7.20,23,8.86,PLN,1,177,,PC,1,1,12,95059000,CHN,20.5,2,20,0.203,
"Strong Balloons 12cm, Pastel Mix (1 pkt / 100 pc.)",SB5P-000P,5900779130548,"Strong Balloons, Pastel Mix (Light Blue, Light Lilac, Light Yellow, Light Mint, Pale Pink, Light Peach, Fuchsia, Pistachio), diameter 12 cm.<BR>(1 pkt / 100 pc.)",https://shop.partydeco.pl/media/products/357dd616fee54e38d3be0f5ad601a496/images/SB5P-000P_01_S.jpg,,,10.00,23,12.30,PLN,1,300,,PK,100,0,0,95030099,POL,17.9,3.1,30,0.1076,
"Wooden letter W, white, 26.5x19cm",DL1-W-008,5900779116283,"Letter W made of wood in white colour, width approx. 26.5 cm, height approx. 19 cm",https://shop.partydeco.pl/media/products/9747baa3f41d94db5141a7bf6a069311/images/DL1-W-008_01_S.jpg;https://shop.partydeco.pl/media/products/9747baa3f41d94db5141a7bf6a069311/images/DL1-W-008_op_01_S.jpg,"Products > Table numbers and inscriptions / Bottle accessories > Table numbers, inscriptions and tablets","Table numbers, inscriptions and tablets",7.20,23,8.86,PLN,1,153,,PC,1,1,12,95059000,CHN,26.5,2,19,0.245,
"Wooden letter X, white, 19.5x19cm",DL1-X-008,5900779116375,"Letter X made of wood in white colour, width approx. 19.5 cm, height approx. 19 cm",https://shop.partydeco.pl/media/products/03a9d189b7a9e6628d2a9ad07f2e8347/images/DL1-X-008_01_S.jpg;https://shop.partydeco.pl/media/products/03a9d189b7a9e6628d2a9ad07f2e8347/images/DL1-X-008_op_01_S.jpg,"Products > Table numbers and inscriptions / Bottle accessories > Table numbers, inscriptions and tablets","Table numbers, inscriptions and tablets",7.20,23,8.86,PLN,1,132,,PC,1,1,12,95059000,CHN,19.5,2,19,0.192,
"Wooden letter Z, white, 17x20cm",DL1-Z-008,5900779116313,"Letter Z made of wood in white colour, width approx. 17 cm, height approx. 20 cm",https://shop.partydeco.pl/media/products/62fd27a2801c0682833ecfe0813dbb9f/images/DL1-Z-008_01_S.jpg;https://shop.partydeco.pl/media/products/62fd27a2801c0682833ecfe0813dbb9f/images/DL1-Z-008_op_01_S.jpg,"Products > Table numbers and inscriptions / Bottle accessories > Table numbers, inscriptions and tablets","Table numbers, inscriptions and tablets",7.20,23,8.86,PLN,1,154,,PC,1,1,12,95059000,CHN,17,2,20,0.202,
"Strong Balloons 23cm, Pastel Mix (1 pkt / 100 pc.)",SB10P-000P,5900779130029,"Strong Balloons Pastel Mix (Light Blue, Light Lilac, Light Yellow, Light Mint, Pale Pink, Light Peach, Fuchsia, Pistachio), diameter 23 cm.<BR>(1 pkt / 100 pc.)",https://shop.partydeco.pl/media/products/2226a93d252bb982a8fc749d97583727/images/SB10P-000P_01_S.jpg,,,10.90,23,13.41,PLN,1,248,,PK,100,0,0,95030099,POL,36.6,5.8,21.5,,
"Strong Balloons 30cm, Pastel Mix (1 pkt / 100 pc.)",SB14P-000P,5900779130449,"Strong Balloons, Pastel Mix (Light Blue, Light Lilac, Light Yellow, Light Mint, Pale Pink, Light Peach, Fuchsia, Pistachio), diameter 30 cm.<BR>(1 pkt / 100 pc.)",https://shop.partydeco.pl/media/products/e1d6a92cfd19297cfbccdd3c4a317a60/images/SB14P-000P_01_S.jpg,,,19.50,23,23.99,PLN,1,300,,PK,100,0,0,95030099,POL,21.4,7,35,0.3874,
"Strong Balloons 27cm, Pastel Mix (1 pkt / 100 pc.)",SB12P-000P,5900779130500,"Strong Balloons, Pastel Mix (Light Blue, Light Lilac, Light Yellow, Light Mint, Pale Pink, Light Peach, Fuchsia, Pistachio), diameter 27 cm.<BR>(1 pkt / 100 pc.)",https://shop.partydeco.pl/media/products/8c896e7b357b326d9173dab38f8fac72/images/SB12P-000P_01_S.jpg,,,14.75,23,18.14,PLN,1,300,,PK,100,0,0,95030099,POL,21.3,4.3,36,,
"Plain birthday candles, light blue, 14cm (1 pkt / 12 pc.)",SCD-2-001J,5900779105898,"Plain birthday candles in light blue colour, height approx. 14 cm. Set contains 12 candles and holders.<BR>(1 pkt / 12 pc.)",https://shop.partydeco.pl/media/products/4c691f6113c8354c510e576ecdfde30b/images/SCD-2-001J_01_S.jpg;https://shop.partydeco.pl/media/products/4c691f6113c8354c510e576ecdfde30b/images/SCD-2-001J_op_01_S.jpg;https://shop.partydeco.pl/media/products/4c691f6113c8354c510e576ecdfde30b/images/SCD-2-001J_02_S.jpg,"Products > Birthday candles and numbers > Birthday candles","Birthday candles",3.69,23,4.54,PLN,1,300,,PK,12,1,24,34060000,CHN,24.6,1,6.5,0.0464,"'Only the plastic base is intended for contact with food.'"
"Strong Balloons 23cm, Pastel Mix (1 pkt / 50 pc.)",SB10P-000P-50,5900779113473,"Strong Balloons Pastel Mix (Light Blue, Light Lilac, Light Yellow, Light Mint, Pale Pink, Light Peach, Fuchsia, Pistachio), diameter 23 cm.<BR>(1 pkt / 50 pc.)",https://shop.partydeco.pl/media/products/28b19eeab309946afaa77af4fc248997/images/SB10P-000P_01_S.jpg,,,6.00,23,7.38,PLN,1,251,,PK,50,0,0,95030099,POL,30.2,1.8,18,0.1091,
"Strong Balloons 30cm, Pastel Mix (1 pkt / 10 pc.)",SB14P-000P-10,5900779130425,"Strong Balloons, Pastel Mix (Light Blue, Light Lilac, Light Yellow, Light Mint, Pale Pink, Light Peach, Fuchsia, Pistachio), diameter 30 cm.<BR>(1 pkt / 10 pc.)",https://shop.partydeco.pl/media/products/9de55180d12991bb8cf75d100dbcd41e/images/SB14P-000P_01_S.jpg,,,3.75,23,4.61,PLN,1,300,,PK,10,0,0,95030099,POL,12,2,19.5,0.04195,
"Strong Balloons 27cm, Pastel Mix (1 pkt / 50 pc.)",SB12P-000P-50,5900779130524,"Strong Balloons, Pastel Mix (Light Blue, Light Lilac, Light Yellow, Light Mint, Pale Pink, Light Peach, Fuchsia, Pistachio), diameter 27 cm.<BR>(1 pkt / 50 pc.)",https://shop.partydeco.pl/media/products/b4342913631339566b638c18b5c742d4/images/SB12P-000P_01_S.jpg,,,8.00,23,9.84,PLN,1,139,,PK,50,0,0,95030099,POL,18,5,30,0.1422,
"Birthday candles ombre, 6cm (1 pkt / 20 pc.)",SCP-11,5900779105966,"Birthday candles ombre, mix of colours (blue - purple), height approx. 6 cm. Set contains 20 candles and holders.<BR>(1 pkt / 20 pc.)",https://shop.partydeco.pl/media/products/2c150aee7ea5d57f8939a45e38e91955/images/SCP-11_01_S.jpg;https://shop.partydeco.pl/media/products/2c150aee7ea5d57f8939a45e38e91955/images/SCP-11_02_S.jpg;https://shop.partydeco.pl/media/products/2c150aee7ea5d57f8939a45e38e91955/images/SCP-11_03_S.jpg;https://shop.partydeco.pl/media/products/2c150aee7ea5d57f8939a45e38e91955/images/SCP-11_op_01_S.jpg,"Products > Birthday candles and numbers > Birthday candles","Birthday candles",5.49,23,6.75,PLN,0,0,2021-06-02,PK,20,1,24,34060000,CHN,9,1.2,15.5,0.0364,"'Only the plastic base is intended for contact with food.'"
"Plain birthday candles, light lilac, 14cm (1 pkt / 12 pc.)",SCD-2-004J,5900779105935,"Plain birthday candles in light lilac colour, height approx. 14 cm. Set contains 12 candles and holders.<BR>(1 pkt / 12 pc.)",https://shop.partydeco.pl/media/products/a5d30cf4eaed08b17eda2be2e45dccd1/images/SCD-2-004J_03_S.jpg;https://shop.partydeco.pl/media/products/a5d30cf4eaed08b17eda2be2e45dccd1/images/SCD-2-004J_04_S.jpg;https://shop.partydeco.pl/media/products/a5d30cf4eaed08b17eda2be2e45dccd1/images/SCD-2-004J_05_S.jpg;https://shop.partydeco.pl/media/products/a5d30cf4eaed08b17eda2be2e45dccd1/images/SCD-2-004J_01_S.jpg;https://shop.partydeco.pl/media/products/a5d30cf4eaed08b17eda2be2e45dccd1/images/SCD-2-004J_02_S.jpg;https://shop.partydeco.pl/media/products/a5d30cf4eaed08b17eda2be2e45dccd1/images/SCD-2-004J_op_01_S.jpg,"Products > Birthday candles and numbers > Birthday candles","Birthday candles",3.69,23,4.54,PLN,1,300,,PK,12,1,24,34060000,CHN,24.6,1,6.5,0.0464,"'Only the plastic base is intended for contact with food.'"
"Birthday candles Flamingos, 3cm (1 pkt / 5 pc.)",SCS-8,5900779105836,"Birthday candles Flamingos in pink colour, height approx. 3 cm.<BR>(1 pkt / 5 pc.)",https://shop.partydeco.pl/media/products/18f3a8cf351c4a81e1b640c859112c62/images/SCS-8_01_S.jpg;https://shop.partydeco.pl/media/products/18f3a8cf351c4a81e1b640c859112c62/images/SCS-8_02_S.jpg;https://shop.partydeco.pl/media/products/18f3a8cf351c4a81e1b640c859112c62/images/SCS-8_op_01_S.jpg,"Products > Birthday candles and numbers > Birthday candles","Birthday candles",5.15,23,6.33,PLN,1,300,,PK,5,1,24,34060000,CHN,10,8,2.2,0.0223,"'Only the plastic stick is intended for contact with food.'"
"Strong Balloons 30cm, Pastel Mix (1 pkt / 50 pc.)",SB14P-000P-50,5900779130463,"Strong Balloons, Pastel Mix (Light Blue, Light Lilac, Light Yellow, Light Mint, Pale Pink, Light Peach, Fuchsia, Pistachio), diameter 30 cm.<BR>(1 pkt / 50 pc.)",https://shop.partydeco.pl/media/products/627ad8cfea65172db60da4810e5feda5/images/SB14P-000P_01_S.jpg,,,10.30,23,12.67,PLN,1,300,,PK,50,0,0,95030099,POL,17.9,4.5,30,,
"Birthday candles Happy Birthday, gold, 2.5cm (1 pkt / 13 pc.)",SCS-9-019B,5900779105850,"Birthday candles Happy Birthday in gold glittery colour, height approx. 2.5 cm.<BR>(1 pkt / 13 pc.)",https://shop.partydeco.pl/media/products/f899e1c5af1e4570d26b3d48834a47a4/images/SCS-9-019B_01_S.jpg;https://shop.partydeco.pl/media/products/f899e1c5af1e4570d26b3d48834a47a4/images/SCS-9-019B_op_01_S.jpg;https://shop.partydeco.pl/media/products/f899e1c5af1e4570d26b3d48834a47a4/images/SCS-9-019B_02_S.jpg,"Products > Birthday candles and numbers > Birthday candles","Birthday candles",6.24,23,7.68,PLN,0,0,2021-06-02,PK,13,1,24,34060000,CHN,14.8,10.5,2.5,0.0274,"'Only the plastic stick is intended for contact with food.'"
"Birthday candles curl, mix, 14cm (1 pkt / 8 pc.)",SCS-10-000,5900779105942,"Birthday candles curl, mix of colours ( yellow, pink, blue, green, purple), height approx. 14 cm. Set contains 8 candles and holders.<BR>(1 pkt / 8 pc.)",https://shop.partydeco.pl/media/products/41e2dd3a61ecf39ca1219832bb12808f/images/SCS-10-000_01_S.jpg;https://shop.partydeco.pl/media/products/41e2dd3a61ecf39ca1219832bb12808f/images/SCS-10-000_op_01_S.jpg;https://shop.partydeco.pl/media/products/41e2dd3a61ecf39ca1219832bb12808f/images/SCS-10-000_02_S.jpg,"Products > Birthday candles and numbers > Birthday candles","Birthday candles",3.57,23,4.39,PLN,1,300,,PK,8,1,24,34060000,CHN,26,1.2,6,0.0171,"'Only the plastic stick is intended for contact with food.'"
"Birthday candle Number 0, gold, 10cm",SCU4-0-019,5900779117594,"Birthday candle Number 0,gold glittery, size approx.  10cm.",https://shop.partydeco.pl/media/products/c620a6cc2f637ee6be5902332c82bc4a/images/SCU4-0-019_01_S.jpg;https://shop.partydeco.pl/media/products/c620a6cc2f637ee6be5902332c82bc4a/images/SCU4-0-019_op_01_S.jpg,"Products > Birthday candles and numbers > Birthday candles Numbers","Birthday candles Numbers",3.20,23,3.94,PLN,0,0,2021-08-24,PC,1,1,24,34060000,CHN,10,1,20,0.029,"'Only the plastic base is intended for contact with food.'"
"Birthday candle Number 18, gold, 7.5cm",SCU5-18-019,5900779130593,"Birthday candle Number 18 in gold glittery colour, size approx.  7.5 cm.",https://shop.partydeco.pl/media/products/e169335b93b85d8525a245cc7e8b7643/images/SCU5-18-019_01_S.jpg;https://shop.partydeco.pl/media/products/e169335b93b85d8525a245cc7e8b7643/images/SCU5-18-019_op_01_S.jpg;https://shop.partydeco.pl/media/products/e169335b93b85d8525a245cc7e8b7643/images/SCU5-18-019_02_S.jpg;https://shop.partydeco.pl/media/products/e169335b93b85d8525a245cc7e8b7643/images/SCU5-18-019_03_S.jpg;https://shop.partydeco.pl/media/products/e169335b93b85d8525a245cc7e8b7643/images/SCU5-18-019_04_S.jpg;https://shop.partydeco.pl/media/products/e169335b93b85d8525a245cc7e8b7643/images/SCU5-18-019_05_S.jpg,"Products > Birthday candles and numbers > Birthday candles Numbers","Birthday candles Numbers",3.00,23,3.69,PLN,1,300,,PC,1,1,24,34060000,CHN,11,16,1.2,0.0405,"'Only the plastic base is intended for contact with food.'"
"Plain birthday candles, white, 14cm (1 pkt / 12 pc.)",SCD-2-008,5900779105881,"Plain birthday candles in white colour, height approx. 14 cm. Set contains 12 candles and holders.<BR>(1 pkt / 12 pc.)",https://shop.partydeco.pl/media/products/8a03a356fcd68e5e4a18669d613435f5/images/SCD-2-008_01_S.jpg;https://shop.partydeco.pl/media/products/8a03a356fcd68e5e4a18669d613435f5/images/SCD-2-008_op_01_S.jpg,"Products > Birthday candles and numbers > Birthday candles","Birthday candles",3.69,23,4.54,PLN,1,300,,PK,12,1,24,34060000,CHN,24.6,1,6.5,0.0464,"'Only the plastic base is intended for contact with food.'"
"Napkins Happy Birthday, white, 33x33cm (1 pkt / 20 pc.)",SP33-79-008-019R,5900779130241,"Paper napkins in white colour with inscription Happy Birthday in metallic rose gold colour, size after unfolding approx. 33 x 33 cm, size after assembling approx. 16.5 x 16.5 cm.<BR>(1 pkt / 20 pc.)",https://shop.partydeco.pl/media/products/d959fcaf924c41d9b57ade4bd43a59ea/images/SP33-79-008-019R_01_S.jpg;https://shop.partydeco.pl/media/products/d959fcaf924c41d9b57ade4bd43a59ea/images/SP33-79-008-019R_02_S.jpg;https://shop.partydeco.pl/media/products/d959fcaf924c41d9b57ade4bd43a59ea/images/SP33-79-008-019R_op_01_S.jpg,"Products > Napkins / Candles > Napkins with print","Napkins with print",7.47,23,9.19,PLN,1,300,,PK,20,1,12,48183000,CHN,16.5,16.5,2,0.118,
"Napkins Wieczór panieński, white, 33x33cm (1 pkt / 20 pc.)",SP33-91-019ME,5900779132177,"Paper napkins in white colour with gold metallic inscription Wieczór panieński, size after unfolding approx. 33 x 33 cm, size after folding approx. 16.5 x 16.5 cm.<BR>(1 pkt / 20 pc.)",https://shop.partydeco.pl/media/products/07ba997eba5984e701ce50953547b0dc/images/SP33-91-019ME_01_S.jpg;https://shop.partydeco.pl/media/products/07ba997eba5984e701ce50953547b0dc/images/SP33-91-019ME_02_S.jpg;https://shop.partydeco.pl/media/products/07ba997eba5984e701ce50953547b0dc/images/SP33-91-019ME_op_01_S.jpg;https://shop.partydeco.pl/media/products/07ba997eba5984e701ce50953547b0dc/images/SP33-91-019ME_03_S.jpg,"Products > Napkins / Candles > Napkins with print","Napkins with print",7.26,23,8.93,PLN,1,300,,PK,20,1,12,48183000,CHN,16.5,16.5,1.5,0.117,
"Birthday candles curl, gold, 14 cm (1 pkt / 8 pc.)",SCS-10-019ME,5900779105973,"Birthday candles curl, in metallic gold colour, height approx. 14 cm. Set contains 8 candles and holders.<BR>(1 pkt / 8 pc.)",https://shop.partydeco.pl/media/products/79842adf474d238c640c379621dae2ca/images/SCS-10-019ME_01_S.jpg;https://shop.partydeco.pl/media/products/79842adf474d238c640c379621dae2ca/images/SCS-10-019ME_op_01_S.jpg,"Products > Birthday candles and numbers > Birthday candles","Birthday candles",3.74,23,4.60,PLN,1,300,,PK,8,1,24,34060000,CHN,26,1.2,6,0.0171,"'Only the plastic stick is intended for contact with food.'"
"Birthday candle Number 1, gold, 10cm",SCU4-1-019,5900779118461,"Birthday candle Number 1,gold glittery, size approx.  10cm.",https://shop.partydeco.pl/media/products/c93e9be5b2b688c1377bc0ac9441c7d0/images/SCU4-1-019_01_S.jpg;https://shop.partydeco.pl/media/products/c93e9be5b2b688c1377bc0ac9441c7d0/images/SCU4-1-019_op_01_S.jpg,"Products > Birthday candles and numbers > Birthday candles Numbers","Birthday candles Numbers",3.20,23,3.94,PLN,0,0,2021-08-24,PC,1,1,24,34060000,CHN,10,1,20,0.021,"'Only the plastic base is intended for contact with food.'"
